PARK_NAME,ADDRESS,OWNERSHIP,PARK_ID,MAP_LABEL,"﻿""DESCRIPTION""",TYPE,GeoJSON,geo_point_2d
JORENE PARK,5 JORENE DR,MUNICIPAL,78,Jorene Park,Pathways,NEIGHBOURHOOD,"{""coordinates"": [[[-76.5744194, 44.2142232], [-76.5743829, 44.2142315], [-76.5742751, 44.2138909], [-76.5737915, 44.2139153], [-76.5737816, 44.2138143], [-76.5737656, 44.2136502], [-76.573753, 44.2135213], [-76.5737495, 44.2134861], [-76.5730457, 44.2135217], [-76.5729516, 44.2125491], [-76.573325, 44.2123444], [-76.5736287, 44.212329], [-76.5736363, 44.2123286], [-76.5736639, 44.2126106], [-76.5739722, 44.2125949], [-76.574174, 44.2125846], [-76.5743301, 44.2125767], [-76.5743675, 44.2125903], [-76.5745893, 44.2126709], [-76.5748234, 44.212756], [-76.5750571, 44.212424], [-76.5750911, 44.2124364], [-76.5748575, 44.2127684], [-76.5747969, 44.2129525], [-76.5747354, 44.2131394], [-76.5746739, 44.2133263], [-76.5746242, 44.2134773], [-76.5746124, 44.2135131], [-76.5745509, 44.2137], [-76.5744917, 44.2138799], [-76.5743136, 44.2138889], [-76.5744194, 44.2142232]]], ""type"": ""Polygon""}","44.21310711792303, -76.57388172959048"
ELDER PARK,388 MACK ST,MUNICIPAL,43,Elder Park,,NEIGHBOURHOOD,"{""coordinates"": [[[-76.5127875, 44.2337333], [-76.5122832, 44.2337517], [-76.5122204, 44.2331138], [-76.512724, 44.2330897], [-76.5127875, 44.2337333]]], ""type"": ""Polygon""}","44.23342212381628, -76.51250415040552"
